lpk	profession
522	Parduotuvių pardavėjai 
523	Kasininkai ir bilietų pardavėjai 
524	Kiti pardavėjai 
531	Vaikų priežiūros darbuotojai ir mokytojų padėjėjai 
532	Asmens sveikatos priežiūros darbuotojai 
541	Apsaugos darbuotojai 
611	Kultūrinių augalų augintojai 
612	Gyvūnų augintojai 
613	Kultūrinių augalų ir gyvūnų augintojai 
621	Miškų ūkio ir giminiškų profesijų darbuotojai 
622	Žvejai ir medžiotojai 
631	Natūraliojo ūkio kultūrinių augalų augintojai 
632	Natūraliojo ūkio gyvulių augintojai 
633	Mišriojo natūraliojo ūkio kultūrinių augalų ir gyvulių augintojai 
634	"Natūraliojo ūkio žvejai, miško gėrybių ir vaistažolių rinkėjai "
711	Statybininkai montuotojai ir giminiškų profesijų darbininkai 
712	Statybininkai apdailininkai ir giminiškų profesijų darbininkai 
713	"Dažytojai, statybinių konstrukcijų valytojai ir giminiškų profesijų darbininkai "
721	"Skardininkai, metalinių konstrukcijų montuotojai, metalo liejikai, suvirintojai ir giminiškų profesijų darbininkai "
722	"Kalviai, įrankininkai ir giminiškų profesijų darbininkai "
723	Mašinų mechanikai ir taisytojai 
731	Amatininkai 
732	Spausdinimo darbininkai 
741	Elektros įrangos įrengėjai ir taisytojai 
742	Elektroninės ir telekomunikacijų įrangos įrengėjai ir taisytojai 
751	Maisto gamintojai ir giminiškų profesijų darbininkai 
752	"Medienos meistrai, baldžiai ir giminiškų profesijų darbininkai "
753	Siuvėjai ir giminiškų profesijų darbininkai 
754	Kiti kvalifikuoti darbininkai ir amatininkai 
811	Kasybos ir rūdų apdorojimo įrenginių operatoriai 
812	Metalų apdirbimo ir poliravimo įrenginių operatoriai 
813	Chemijos ir fotografijos gaminių gamybos įrenginių ir mašinų operatoriai 
814	"Guminių, plastikinių ir popierinių gaminių gamybos mašinų operatoriai "
815	"Tekstilės, kailio ir odos gaminių gamybos mašinų operatoriai "
816	Maisto ir panašių produktų gamybos mašinų operatoriai 
817	Medienos apdirbimo ir popieriaus gamybos įrenginių operatoriai 
818	Kiti stacionariųjų įrenginių ir mašinų operatoriai 
821	Surinkėjai 
831	Lokomotyvų mašinistai ir giminiškų profesijų darbininkai 
832	"Lengvųjų automobilių, furgonų ir motociklų vairuotojai "
833	Sunkiasvorių sunkvežimių ir autobusų vairuotojai 
834	Judamųjų įrenginių operatoriai 
835	Laivų įgulų nariai ir giminiškų profesijų darbininkai 
911	"Namų, viešbučių ir biurų valytojai, kambarinės ir pagalbininkai "
912	"Transporto priemonių ir langų plovėjai, skalbėjai ir kiti valytojai (rankomis) "
921	"Nekvalifikuoti žemės, miškų ir žuvininkystės ūkio darbininkai "
931	Nekvalifikuoti gavybos ir statybos darbininkai 
932	Nekvalifikuoti apdirbimo pramonės darbininkai 
933	Nekvalifikuoti transporto ir sandėliavimo darbininkai 
941	Maisto ruošimo padėjėjai 
951	Gatvėje teikiamų paslaugų teikėjai 
952	Ne maisto produktų gatvės pardavėjai 
961	Buitinių atliekų surinkėjai 
962	Kiti nekvalifikuoti darbininkai 
011	"Ginkluotųjų pajėgų karininkai, generolai ir admirolai "
021	"Ginkluotųjų pajėgų puskarininkiai, seržantai ir viršilos "
031	"Ginkluotųjų pajėgų profesijos, kiti laipsniai "
